Timestamp,Raw Distance (cm),Smoothed Distance (cm)
1750625806.5187616,37.49,37.562000000000005
1750625806.6203501,37.51,37.474000000000004
1750625806.7224996,37.51,37.478
1750625806.8246493,37.39,37.458
1750625806.9346583,37.49,37.478
1750625807.0359542,37.95,37.57
1750625807.1372707,37.49,37.566
1750625807.2452998,37.39,37.542
1750625807.3557315,37.49,37.562000000000005
1750625807.4683108,37.54,37.572
1750625807.5771894,37.54,37.49
1750625807.6858537,37.75,37.542
1750625807.7948334,37.85,37.634
1750625807.90247,36.99,37.534
1750625808.0105715,33.75,36.776
1750625808.1197433,34.21,36.11
1750625808.2291667,59.46,40.452
1750625808.3384857,16.09,36.1
1750625808.4481814,10.56,30.814
1750625808.5577147,8.73,25.810000000000002
1750625808.6671104,9.64,20.896
1750625808.7763207,14.73,11.950000000000001
1750625808.8858764,17.87,12.306000000000001
1750625808.9959288,21.73,14.540000000000001
1750625809.1030586,21.11,17.016000000000002
1750625809.2099924,19.64,19.016000000000002
1750625809.3185756,18.8,19.830000000000002
1750625809.4263308,14.29,19.114
1750625809.5368452,11.3,17.028
1750625809.646815,13.84,15.574
1750625809.7574542,17.53,15.152000000000001
1750625809.8664205,20.41,15.474
1750625809.973921,23.07,17.23
1750625810.0843494,23.58,19.686
1750625810.1917684,19.04,20.726
1750625810.2993007,16.31,20.482
1750625810.4067004,13.84,19.168
1750625810.5157604,12.78,17.11
1750625810.6263342,17.32,15.857999999999999
1750625810.7355556,22.72,16.594
1750625810.8432605,26.0,18.532
1750625810.952846,29.43,21.65
1750625811.0610714,28.93,24.88
1750625811.1684422,189.94,59.403999999999996
1750625811.276074,20.91,59.042
1750625811.384751,20.25,57.891999999999996
1750625811.494079,12.67,54.54
1750625811.596483,11.46,51.046
1750625811.7099018,15.14,16.086
1750625811.8179593,19.04,15.712
1750625811.9272583,23.53,16.368000000000002
1750625812.033672,29.94,19.822
1750625812.141463,31.35,23.8
1750625812.2513628,186.51,58.074
1750625812.3605952,27.41,59.748
1750625812.4697785,21.01,59.244
1750625812.5782607,17.97,56.85
1750625812.6855419,16.1,53.8
1750625812.7949774,16.72,19.842
1750625812.9037302,18.33,18.026
1750625813.0100048,21.51,18.126
1750625813.1199415,26.43,19.818
1750625813.228823,29.79,22.556
1750625813.3368845,28.54,24.919999999999998
1750625813.447367,30.0,27.254
1750625813.5550332,25.09,27.97
1750625813.6635711,21.04,26.892
1750625813.7718568,19.74,24.881999999999998
1750625813.8799956,20.0,23.174
1750625813.9875124,21.35,21.444
1750625814.0964577,23.24,21.073999999999998
1750625814.204943,24.49,21.764
1750625814.3130717,24.49,22.714
1750625814.4234843,24.8,23.674
1750625814.530389,24.63,24.33
1750625814.6395054,25.19,24.72
1750625814.7505047,24.08,24.637999999999998
1750625814.8591044,23.99,24.538
1750625814.969802,22.93,24.163999999999998
1750625815.077211,22.57,23.752
1750625815.1861887,21.71,23.056
1750625815.2964554,20.1,22.26
1750625815.4120004,19.79,21.42
1750625815.5190248,19.09,20.652
1750625815.6274962,18.83,19.904
1750625815.7373033,18.57,19.276
1750625815.846211,18.18,18.892
1750625815.9538324,17.73,18.48
1750625816.0615745,17.53,18.168
1750625816.1692746,17.63,17.928
1750625816.276203,17.66,17.746
1750625816.3838828,17.42,17.594
1750625816.4945247,17.37,17.522000000000002
1750625816.6047661,17.42,17.5
1750625816.713673,17.42,17.458000000000002
1750625816.8234873,17.37,17.400000000000002
1750625816.932191,17.32,17.380000000000003
1750625817.039896,17.53,17.412000000000003
1750625817.148316,16.81,17.29
1750625817.2579453,16.62,17.13
1750625817.366327,16.65,16.986
1750625817.4757886,16.65,16.852
1750625817.5854623,73.73,28.092
1750625817.6926446,15.28,27.786
1750625817.7996352,14.44,27.35
1750625817.9089031,14.2,26.86
1750625818.0170603,13.69,26.268
1750625818.1251085,13.27,14.176
1750625818.2342498,13.03,13.725999999999999
1750625818.3426378,12.01,13.24
1750625818.446757,11.56,12.712
1750625818.554444,12.28,12.43
1750625818.661731,19.81,13.738
1750625818.7709904,16.36,14.404
1750625818.8802838,18.44,15.69
1750625818.9889536,20.77,17.532
1750625819.0962417,22.96,19.668
1750625819.2036202,24.85,20.676000000000002
1750625819.3100727,25.76,22.556
1750625819.414245,26.72,24.212
1750625819.523162,27.27,25.512
1750625819.6318183,27.47,26.414
1750625819.742407,27.87,27.018
1750625819.8507605,27.78,27.422
1750625819.9584148,27.78,27.634
1750625820.068243,27.77,27.734
1750625820.1759136,27.37,27.714000000000002
1750625820.2848456,27.82,27.704
1750625820.3937798,28.18,27.784
1750625820.5030615,28.23,27.874
1750625820.612186,28.28,27.976
1750625820.7203553,28.13,28.128
1750625820.8301392,28.02,28.168
1750625820.937361,28.73,28.278
1750625821.0469623,28.38,28.308
1750625821.1565888,28.38,28.328
1750625821.2665408,28.49,28.4
1750625821.3692062,28.74,28.544
1750625821.477368,28.74,28.546
1750625821.5867765,28.33,28.535999999999998
1750625821.6957438,28.43,28.546
1750625821.8028228,28.43,28.534
1750625821.913472,28.33,28.451999999999998
1750625822.0236146,28.33,28.369999999999997
1750625822.1333778,28.33,28.369999999999997
1750625822.2439153,28.43,28.369999999999997
1750625822.3518376,28.43,28.369999999999997
1750625822.460121,28.33,28.369999999999997
1750625822.5695946,27.92,28.288
1750625822.677579,28.33,28.288
1750625822.7850287,28.43,28.288
1750625822.8938866,28.73,28.348
1750625823.001983,28.28,28.338
1750625823.1051738,28.28,28.41
1750625823.212724,28.83,28.51
1750625823.3194368,28.83,28.59
1750625823.4347227,28.28,28.5
1750625823.5389504,28.74,28.592
1750625823.6420443,27.89,28.514
1750625823.7460399,28.38,28.424
1750625823.8627877,28.28,28.314
1750625823.9725497,28.28,28.314
1750625824.0794702,28.28,28.222
1750625824.1929104,28.38,28.32
1750625824.3004298,28.83,28.41
1750625824.4083788,28.74,28.502
1750625824.5219283,29.14,28.674
1750625824.6309242,29.14,28.846
1750625824.7391074,71.6,37.489999999999995
1750625824.8474197,72.72,46.268
1750625824.9580336,30.82,46.684
1750625825.0675735,188.7,78.596
1750625825.1762302,188.19,110.40599999999999
1750625825.286603,57.73,107.63199999999999
1750625825.3962567,57.74,104.636
1750625825.5115063,108.03,120.078
1750625825.620336,30.36,88.41
1750625825.7297215,30.15,56.802
1750625825.839591,30.48,51.352000000000004
1750625825.9461355,35.57,46.918
1750625826.0555038,37.35,32.782
1750625826.1643326,34.06,33.522
1750625826.2732668,34.87,34.466
1750625826.3814046,61.83,40.736
1750625826.4905465,73.47,48.316
1750625826.6007524,38.09,48.464
1750625826.7106252,36.17,48.886
1750625826.818149,37.1,49.332
1750625826.9247384,35.88,44.142
1750625827.0349116,36.32,36.712
1750625827.142946,36.22,36.338
1750625827.251329,37.04,36.512
1750625827.3607411,36.22,36.336
1750625827.4703853,36.68,36.496
1750625827.5790765,35.88,36.408
1750625827.6905797,36.32,36.428
1750625827.8014033,36.77,36.374
1750625827.9088361,37.2,36.57
1750625828.0168488,36.79,36.592
1750625828.126929,35.93,36.602000000000004
1750625828.2394097,36.79,36.696
1750625828.353459,35.93,36.528
1750625828.4568033,35.93,36.274
1750625828.572351,35.93,36.102
1750625828.6864803,35.93,36.102
1750625828.7916245,35.93,35.93
1750625828.9063506,35.93,35.93
1750625829.021195,35.93,35.93
1750625829.1333447,36.32,36.008
1750625829.2354555,35.47,35.916
1750625829.337725,35.47,35.824
1750625829.4411986,35.86,35.81
1750625829.5586472,35.77,35.778
1750625829.6661992,35.88,35.69
1750625829.7765045,35.88,35.772
1750625829.8829062,36.29,35.936
1750625829.9864082,35.43,35.85
1750625830.0943704,36.29,35.954
1750625830.201823,36.27,36.032000000000004
1750625830.3122764,36.68,36.192
1750625830.4207654,36.68,36.27
1750625830.5351868,36.58,36.5
1750625830.643367,37.1,36.662
1750625830.751691,36.22,36.652
1750625830.85936,36.24,36.564
1750625830.9676616,36.22,36.472
1750625831.075705,36.22,36.4
1750625831.185791,35.77,36.134
1750625831.2932894,35.77,36.044000000000004
1750625831.4030538,35.36,35.868
1750625831.5099683,36.63,35.95
1750625831.6175067,36.63,36.032000000000004
1750625831.7262707,36.22,36.122
1750625831.834863,36.12,36.192
1750625831.9445574,35.77,36.274
1750625832.0536313,36.63,36.274
1750625832.163221,36.53,36.254
1750625832.2717295,35.77,36.164
1750625832.378996,36.63,36.266000000000005
1750625832.484833,36.53,36.418
1750625832.5866706,36.63,36.418
1750625832.6909811,36.19,36.35
1750625832.7928407,36.92,36.58
1750625832.894751,37.04,36.662
1750625833.0004547,37.04,36.764
1750625833.1018877,36.19,36.676
1750625833.2056,36.17,36.672
1750625833.3143818,36.17,36.522
1750625833.4187362,36.17,36.348
1750625833.5274847,36.19,36.178
1750625833.6358104,36.17,36.174
1750625833.7436862,36.17,36.174
1750625833.8531263,36.17,36.174
1750625833.962604,35.77,36.094
1750625834.0706367,35.77,36.010000000000005
1750625834.1805966,35.77,35.93
1750625834.2880087,35.77,35.85
1750625834.3969183,36.17,35.85
1750625834.5073602,36.17,35.93
1750625834.615259,36.17,36.010000000000005
1750625834.7235868,35.36,35.928000000000004
1750625834.8339398,36.38,36.050000000000004
1750625834.9370172,36.84,36.184000000000005
1750625835.0463877,37.64,36.478
1750625835.1554298,37.44,36.732
1750625835.2667584,36.99,37.058
1750625835.379698,37.8,37.342
1750625835.4879808,37.64,37.502
1750625835.607543,38.14,37.602
1750625835.7094774,37.75,37.664
1750625835.8161674,37.23,37.711999999999996
1750625835.919315,36.74,37.5
1750625836.026286,36.84,37.34
1750625836.1288605,36.84,37.08
1750625836.2382371,37.3,36.99
1750625836.352742,36.89,36.922000000000004
1750625836.4650946,36.94,36.962
1750625836.590416,36.53,36.9
1750625836.704484,36.48,36.827999999999996
1750625836.812445,37.34,36.836
1750625836.9206028,36.48,36.754
1750625837.0299404,36.32,36.63
1750625837.1440756,36.38,36.6
1750625837.255235,36.38,36.58
1750625837.3653975,36.27,36.366
1750625837.4816422,35.93,36.256
1750625837.5845387,35.93,36.178000000000004
1750625837.6932054,35.83,36.068
1750625837.8009622,35.93,35.978
1750625837.9096346,35.93,35.91
1750625838.0174894,35.91,35.906
1750625838.126163,36.32,35.984
